route_b_item,store_id,date,predicted_sales,forecast_source,actual_sales
FOODS_3_189,CA_2,2015-11-04,1.7142857142857142,visible_launch_fallback,3
FOODS_3_189,CA_2,2015-11-05,1.7142857142857142,visible_launch_fallback,0
FOODS_3_189,CA_2,2015-11-06,1.7142857142857142,visible_launch_fallback,0
FOODS_3_189,CA_2,2015-11-07,1.7142857142857142,visible_launch_fallback,0
FOODS_3_189,CA_2,2015-11-08,1.7142857142857142,visible_launch_fallback,0
FOODS_3_189,CA_2,2015-11-09,1.7142857142857142,visible_launch_fallback,1
FOODS_3_189,CA_2,2015-11-10,1.7142857142857142,visible_launch_fallback,0
FOODS_3_189,CA_2,2015-11-11,1.7142857142857142,visible_launch_fallback,1
FOODS_3_189,CA_2,2015-11-12,1.7142857142857142,visible_launch_fallback,1
FOODS_3_189,CA_2,2015-11-13,1.7142857142857142,visible_launch_fallback,0
FOODS_3_189,CA_2,2015-11-14,1.7142857142857142,visible_launch_fallback,5
FOODS_3_189,CA_2,2015-11-15,1.7142857142857142,visible_launch_fallback,3
FOODS_3_189,CA_2,2015-11-16,1.7142857142857142,visible_launch_fallback,4
FOODS_3_189,CA_2,2015-11-17,1.7142857142857142,visible_launch_fallback,1
FOODS_3_189,CA_2,2015-11-18,1.7142857142857142,visible_launch_fallback,1
FOODS_3_189,CA_2,2015-11-19,1.7142857142857142,visible_launch_fallback,0
FOODS_3_189,CA_2,2015-11-20,1.7142857142857142,visible_launch_fallback,3
FOODS_3_189,CA_2,2015-11-21,1.7142857142857142,visible_launch_fallback,1
FOODS_3_189,CA_2,2015-11-22,1.7142857142857142,visible_launch_fallback,1
FOODS_3_189,CA_2,2015-11-23,1.7142857142857142,visible_launch_fallback,1
FOODS_3_189,CA_2,2015-11-24,1.7142857142857142,visible_launch_fallback,1
FOODS_3_189,CA_2,2015-11-25,1.089654564857483,semantic_topk_model_transfer,0
FOODS_3_189,CA_2,2015-11-26,0.8491197228431702,semantic_topk_model_transfer,0
FOODS_3_189,CA_2,2015-11-27,0.977435827255249,semantic_topk_model_transfer,2
FOODS_3_189,CA_2,2015-11-28,1.3918282985687256,semantic_topk_model_transfer,0
FOODS_3_189,CA_2,2015-11-29,1.1609537601470947,semantic_topk_model_transfer,2
FOODS_3_189,CA_2,2015-11-30,0.8337914943695068,semantic_topk_model_transfer,4
FOODS_3_189,CA_2,2015-12-01,1.0137948989868164,semantic_topk_model_transfer,0
